Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15740683549.2312
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991
Afghanistan,AFG,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530048,4.75976421930107
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108
Albania,ALB,Deposit interest rate (%),FR.INR.DPST,1.39333333333333,0.830833333333333,0.766666666666667,0.751666666666667,0.4925,0.415,0.478333333333333,0.730833333333333,1.3475
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,187493855609.345,194806115978.109,197728207717.781,200496402625.83,202300870249.462,192185826736.989,199488888152.994,206670488126.502,215143978139.689
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,9.32217375928322
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.206,10.202,12,12.137,12.259,14.057,13.63,12.346,11.701
Algeria,DZA,Deposit interest rate (%),FR.INR.DPST,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,656560305.343511,651422900.763359,662725190.839695,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2789881258.50362,2893376871.7235,2903390035.7376,2949518094.67896,3008967036.98289,2672445970.88657,2893905656.78942,3170696511.92972,3252613194.16191
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..
Andorra,AND,Deposit interest rate (%),FR.INR.DPST,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,90496420506.5957,88161567931.4379,88031782694.3787,86872966032.8735,86262880684.9456,81399194250.7301,82375341952.5616,84883445838.1604,85733374749.9794
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.49,16.575,16.61,16.594,16.497,16.69,15.799,14.602,14.537
Angola,AGO,Deposit interest rate (%),FR.INR.DPST,3.31462018020741,5.54431812488231,6.3421932312639,6.87665706999036,6.41540182938613,6.20172843601284,7.04590812053744,7.10358706145982,6.87844405276617
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1437755555.55556,1496700162.35408,1533568876.84089,1640200774.69966,1691054300.06629,1371776497.48049,1484148566.07947,1625386015.56633,1688158621.57823
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.968993458825638,-0.489437796230499,2.43248789041363,1.20715793367008,1.43135598182984,0.625989707046719,2.06299638545334,7.53107834634288,5.06713865364213
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Deposit interest rate (%),FR.INR.DPST,2.46616666666667,1.9275,1.755,1.65208591666667,1.57648958333333,1.5146045,1.582366,1.5552775,1.3615355
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,598603016935.287,588959512629.692
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.579,8.085,8.347,9.22,9.843,11.461,8.736,6.805,6.139
Argentina,ARG,Deposit interest rate (%),FR.INR.DPST,21.169148538645,24.2799621369518,18.9997425636825,31.9214014101395,47.2867933045233,29.3201379160418,33.5453268260542,52.4166674494502,94.9967454783105
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894
