PORT,PORT_NAME,PORT_LAT,PORT_LON
0104,"JACKMAN, ME",45.6240392,-70.2521512
0101,"PORTLAND, ME",43.670822,-70.28438249999999
0102,"BANGOR, ME",44.8016128,-68.7712257
0103,"EASTPORT, ME",44.9057728,-66.9848938
0105,"VANCEBORO, ME",45.56779299999999,-67.4300093
0106,"HOULTON, ME",46.1252782,-67.8416649
0107,"FORT FAIRFIELD, ME",46.77274,-67.8357406
0108,"VAN BUREN, ME",47.1572963,-67.9353035
0109,"MADAWASKA, ME",47.355203,-68.3214902
0110,"FORT KENT, ME",47.2586502,-68.589491
0115,"CALAIS, ME",45.1889633,-67.27860380000001
0127,"BRIDGEWATER, ME",46.427822,-67.84335639999999
0131,"PORTSMOUTH, NH",43.0702046,-70.7546771
0152,"SEARSPORT, ME",44.4584657,-68.92565619999999
0182,"MANCHESTER USER FEE AIRPORT, NH",42.9956397,-71.4547891
0203,"RICHFORD, VT",44.9969955,-72.6713018
0206,"BEECHER FALLS, VT",45.0106799,-71.50654709999999
0207,"BURLINGTON, VT",44.4758825,-73.21207199999999
0209,"DERBY LINE, VT",45.002228,-72.10116599999999
0211,"NORTON, VT",45.010046,-71.794817
0212,"HIGHGATE SPRINGS-ALBURG, VT",44.97400649999999,-73.105042
0401,"BOSTON, MA",42.3555076,-71.0565364
0402,"SPRINGFIELD, MA",42.1013104,-72.58927419999999
0403,"WORCESTER, MA",42.2628113,-71.80249309999999
0404,"GLOUCESTER, MA",42.62453199999999,-70.660782
0405,"NEW BEDFORD, MA",41.6340613,-70.92766569999999
0407,"FALL RIVER, MA",41.70139,-71.15522899999999
0408,"SALEM, MA",42.5197473,-70.8954626
0410,"BRIDGEPORT, CT",41.17989,-73.19232869999999
0411,"HARTFORD, CT",41.7658043,-72.6733723
0412,"NEW HAVEN, CT",41.308274,-72.9278835
0416,"LAWRENCE, MA",42.7070354,-71.1631137
0417,"LOGAN AIRPORT, MA",42.365602,-71.0096136
0502,"PROVIDENCE, RI",41.8245558,-71.414199
0701,"OGDENSBURG, NY",44.6942291,-75.48633640000001
0704,"MASSENA, NY",44.9281049,-74.891865
0708,"ALEXANDRIA BAY, NY",44.3358836,-75.9177309
0712,"CHAMPLAIN-ROUSES POINT, NY",44.9827567,-73.3718139
0715,"TROUT RIVER, NY",44.99143249999999,-74.3082502
0901,"BUFFALO-NIAGARA FALLS, NY",43.0783124,-79.0046311
0903,"ROCHESTER, NY",43.15657789999999,-77.6088465
0904,"OSWEGO, NY",43.45531330000001,-76.51155109999999
0906,"SYRACUSE, NY",43.0494832,-76.14739770000001
1001,"NEW YORK, NY",40.7127753,-74.0059728
1002,"ALBANY, NY",42.6518095,-73.75447070000001
1003,"NEWARK, NJ",40.7315293,-74.1744671
1004,"PERTH AMBOY, NJ",40.5085909,-74.2678615
1012,"JFK INTERNATIONAL AIRPORT, NY",40.6446245,-73.7797035
1103,"WILMINGTON, DE",39.744655,-75.5483909
1081,"MORRISTOWN AIRPORT, NEWARK, NJ",40.7975621,-74.4157549
1101,"PHILADELPHIA, PA",39.9525839,-75.1652215
1102,"CHESTER, PA",39.849557,-75.3557457
1104,"PITTSBURGH, PA",40.4386612,-79.99723519999999
1106,"WILKES-BARRE/SCRANTON, PA",41.3377564,-75.7237821
1108,"PHILADELPHIA INTERNATIONAL AIRPORT, PA",39.87297969999999,-75.24369870000001
1109,"HARRISBURG, PA",40.2731911,-76.8867008
1119,"ALLENTOWN, PA",40.6022939,-75.4714098
1182,"ATLANTIC CITY USER FEE AIRPORT, NJ",39.3636917,-74.4291041
1301,"ANNAPOLIS, MD",38.9764364,-76.489642
1303,"BALTIMORE, MD",39.2905023,-76.6104072
1304,"CRISFIELD, MD",37.9834575,-75.85382109999999
1305,"BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD",39.1775921,-76.6683889
1401,"NORFOLK-NEWPORT NEWS, VA",36.8507689,-76.28587259999999
1404,"RICHMOND-PETERSBURG, VA",37.2383219,-77.3682879
1409,"CHARLESTON, WV",38.3498195,-81.6326234
1412,"NEW RIVER VALLEY AIRPORT, VA",37.138422,-80.68122799999999
1501,"WILMINGTON, NC",34.2103894,-77.8868117
1502,"WINSTON-SALEM, NC",36.0948221,-80.2434028
1503,"DURHAM, NC",35.9955684,-78.9002077
1511,"BEAUFORT-MOREHEAD CITY, NC",34.7292919,-76.8336178
1512,"CHARLOTTE, NC",35.2215548,-80.840116
1601,"CHARLESTON, SC",32.7833163,-79.9319664
1602,"GEORGETOWN, SC",33.376834,-79.2944964
1603,"GREENVILLE-SPARTANSBURG, SC",34.8332582,-82.2975348
1604,"COLUMBIA, SC",34.0008322,-81.035147
1701,"BRUNSWICK, GA",31.1510919,-81.4878157
1703,"SAVANNAH, GA",32.0808989,-81.091203
1704,"ATLANTA, GA",33.7501275,-84.3885209
1801,"TAMPA, FL",27.9516896,-82.45875269999999
1803,"JACKSONVILLE, FL",30.3297566,-81.6591529
1805,"FERNANDINA, FL",30.6696818,-81.46259189999999
1808,"ORLANDO, FL",28.5383832,-81.3789269
1809,"ORLANDO-SANFORD AIRPORT, FL",28.7760155,-81.234467
1814,"ST. PETERSBURG, FL",27.7671271,-82.6384451
1816,"PORT CANAVERAL, FL",28.4050877,-80.60888849999999
1818,"PANAMA CITY, FL",30.1588129,-85.6602058
1819,"PENSACOLA, FL",30.4076647,-87.2189746
1821,"PORT MANATEE, FL",27.6336443,-82.5614858
1822,"FORT MYERS AIRPORT, FL",26.5318723,-81.75956459999999
1880,"NAPLES MUNICIPAL USER FEE AIRPORT, NAPLES, FL",26.1521074,-81.77494759999999
1883,"SARASOTA-BRADENTON AIRPORT, FL",27.3950766,-82.5537992
1888,"ORLANDO EXECUTIVE AIRPORT, FL",28.5496883,-81.3373331
1901,"MOBILE, AL",30.6953657,-88.0398912
1902,"GULFPORT, MS",30.3674198,-89.0928155
1903,"PASCAGOULA, MS",30.3657552,-88.5561272
1904,"BIRMINGHAM, AL",33.5185892,-86.8103567
1910,"HUNTSVILLE, AL",34.7295497,-86.5853155
2001,"MORGAN CITY, LA",29.6993748,-91.20676999999999
2002,"NEW ORLEANS, LA",29.9508941,-90.07583559999999
2003,"LITTLE ROCK, AR",34.7444618,-92.2880157
2004,"BATON ROUGE, LA",30.4514677,-91.18714659999999
2006,"MEMPHIS, TN",35.1485812,-90.0518955
2007,"NASHVILLE, TN",36.1626638,-86.7816016
2008,"CHATTANOOGA, TN",35.0457984,-85.3093995
2010,"GRAMERCY, LA",30.0474239,-90.6898128
2015,"VICKSBURG, MS",32.3526456,-90.877882
2016,"KNOXVILLE, TN",35.965266,-83.923304
2017,"LAKE CHARLES, LA",30.2265949,-93.2173758
2018,"SHREVEPORT-BOSSIER CITY, LA",32.5159852,-93.7321228
2101,"PORT ARTHUR, TX",29.8849504,-93.93994699999999
2104,"BEAUMONT, TX",30.080174,-94.1265562
2301,"BROWNSVILLE, TX",25.9017472,-97.4974838
