Date,Open,High,Low,Close
12/2015,"606.24","610.79","531.82","553.74"
11/2015,"641.60","684.95","597.14","605.70"
10/2015,"594.40","720.71","583.42","645.59"
09/2015,"683.16","703.48","578.14","588.86"
08/2015,"733.45","780.94","618.85","694.35"
07/2015,"840.12","842.96","701.77","739.78"
06/2015,"908.16","951.82","832.40","835.55"
05/2015,"987.78","1,023.46","907.31","907.56"
04/2015,"859.83","1,003.23","850.31","975.27"
03/2015,"945.74","947.54","849.72","865.05"
02/2015,"885.59","981.57","882.75","948.91"
01/2015,"987.29","991.47","862.71","883.12"
