CTY_CODE,CTY_NAME,CTY_LAT,CTY_LON
1010,GREENLAND,71.706936,-42.604303
1220,CANADA,56.130366,-106.346771
2010,MEXICO,23.634501,-102.552784
2050,GUATEMALA,15.783471,-90.23075899999999
2080,BELIZE,17.189877,-88.49765
2110,EL SALVADOR,13.794185,-88.89653
2150,HONDURAS,15.199999,-86.241905
2190,NICARAGUA,12.865416,-85.207229
2230,COSTA RICA,9.748916999999999,-83.753428
2250,PANAMA,8.537981,-80.782127
2320,BERMUDA,32.3078,-64.7505
2360,BAHAMAS,25.03428,-77.39627999999999
2390,CUBA,21.521757,-77.781167
2410,JAMAICA,18.109581,-77.297508
2430,TURKS AND CAICOS ISLANDS,21.694025,-71.797928
2440,CAYMAN ISLANDS,19.3133,-81.2546
2450,HAITI,18.971187,-72.285215
2470,DOMINICAN REPUBLIC,18.735693,-70.162651
2481,ANGUILLA,18.220554,-63.06861499999999
2482,BRITISH VIRGIN ISLANDS,18.420695,-64.639968
2483,ST KITTS AND NEVIS,17.357822,-62.782998
2484,ANTIGUA AND BARBUDA,17.060816,-61.796428
2485,MONTSERRAT,16.742498,-62.187366
2486,DOMINICA,15.414999,-61.37097600000001
2487,ST LUCIA,13.909444,-60.978893
2488,ST VINCENT AND THE GRENADINES,12.984305,-61.287228
2489,GRENADA,12.1165,-61.67899999999999
2720,BARBADOS,13.193887,-59.543198
2740,TRINIDAD AND TOBAGO,10.691803,-61.222503
2774,SINT MAARTEN,18.04248,-63.05483
2777,CURACAO,12.16957,-68.99002
2779,ARUBA,12.52111,-69.968338
2831,GUADELOUPE,16.265,-61.55099999999999
2839,MARTINIQUE,14.641528,-61.024174
3010,COLOMBIA,4.570868,-74.297333
3070,VENEZUELA,6.42375,-66.58973
3120,GUYANA,4.860416,-58.93018
3150,SURINAME,3.919305,-56.027783
3170,FRENCH GUIANA,3.933889,-53.125782
3310,ECUADOR,-1.831239,-78.18340599999999
3330,PERU,-9.189967,-75.015152
3350,BOLIVIA,-16.290154,-63.58865299999999
3370,CHILE,-35.675147,-71.542969
3510,BRAZIL,-14.235004,-51.92528
3530,PARAGUAY,-23.442503,-58.443832
3550,URUGUAY,-32.522779,-55.765835
3570,ARGENTINA,-38.416097,-63.61667199999999
3720,FALKLAND ISLANDS (ISLAS MALVINAS),-51.796253,-59.523613
4000,ICELAND,64.963051,-19.020835
4010,SWEDEN,60.12816100000001,18.643501
4031,"SVALBARD, JAN MAYEN ISLAND",77.8749725,20.9751822
4039,NORWAY,60.47202399999999,8.468945999999999
4050,FINLAND,61.92410999999999,25.748151
4091,FAROE ISLANDS,61.89263500000001,-6.911805999999999
4099,DENMARK,56.26392,9.501785
4120,UNITED KINGDOM,55.378051,-3.435973
4190,IRELAND,53.77975540000001,-7.3055309
4210,NETHERLANDS,52.132633,5.291265999999999
4231,BELGIUM,50.503887,4.469936
4239,LUXEMBOURG,49.815273,6.129582999999999
4271,ANDORRA,42.506285,1.521801
4272,MONACO,43.73841760000001,7.424615799999999
4279,FRANCE,46.227638,2.213749
4280,GERMANY,51.165691,10.451526
4330,AUSTRIA,47.516231,14.550072
4351,CZECH REPUBLIC,49.81749199999999,15.472962
4359,SLOVAKIA,48.669026,19.699024
4370,HUNGARY,47.162494,19.503304
4411,LIECHTENSTEIN,47.14103919999999,9.520935000000001
