YY_MM,GEN_VAL_MO_x_1220,GEN_VAL_MO_x_2010,GEN_VAL_MO_x_2050,GEN_VAL_MO_x_2110,GEN_VAL_MO_x_2150,GEN_VAL_MO_x_2230,GEN_VAL_MO_x_2250,GEN_VAL_MO_x_2470,GEN_VAL_MO_x_2740,GEN_VAL_MO_x_3010,GEN_VAL_MO_x_3310,GEN_VAL_MO_x_3330,GEN_VAL_MO_x_3350,GEN_VAL_MO_x_3370,GEN_VAL_MO_x_3510,GEN_VAL_MO_x_3530,GEN_VAL_MO_x_4000,GEN_VAL_MO_x_4010,GEN_VAL_MO_x_4039,GEN_VAL_MO_x_4050,GEN_VAL_MO_x_4099,GEN_VAL_MO_x_4120,GEN_VAL_MO_x_4190,GEN_VAL_MO_x_4210,GEN_VAL_MO_x_4231,GEN_VAL_MO_x_4239,GEN_VAL_MO_x_4279,GEN_VAL_MO_x_4280,GEN_VAL_MO_x_4330,GEN_VAL_MO_x_4351,GEN_VAL_MO_x_4359,GEN_VAL_MO_x_4370,GEN_VAL_MO_x_4419,GEN_VAL_MO_x_4470,GEN_VAL_MO_x_4490,GEN_VAL_MO_x_4510,GEN_VAL_MO_x_4550,GEN_VAL_MO_x_4622,GEN_VAL_MO_x_4623,GEN_VAL_MO_x_4633,GEN_VAL_MO_x_4634,GEN_VAL_MO_x_4700,GEN_VAL_MO_x_4710,GEN_VAL_MO_x_4759,GEN_VAL_MO_x_4791,GEN_VAL_MO_x_4792,GEN_VAL_MO_x_4793,GEN_VAL_MO_x_4801,GEN_VAL_MO_x_4840,GEN_VAL_MO_x_4850,GEN_VAL_MO_x_4870,GEN_VAL_MO_x_4890,GEN_VAL_MO_x_5081,GEN_VAL_MO_x_5170,GEN_VAL_MO_x_5180,GEN_VAL_MO_x_5200,GEN_VAL_MO_x_5230,GEN_VAL_MO_x_5250,GEN_VAL_MO_x_5330,GEN_VAL_MO_x_5350,GEN_VAL_MO_x_5420,GEN_VAL_MO_x_5490,GEN_VAL_MO_x_5520,GEN_VAL_MO_x_5550,GEN_VAL_MO_x_5570,GEN_VAL_MO_x_5590,GEN_VAL_MO_x_5600,GEN_VAL_MO_x_5650,GEN_VAL_MO_x_5700,GEN_VAL_MO_x_5800,GEN_VAL_MO_x_5820,GEN_VAL_MO_x_5880,GEN_VAL_MO_x_6021,GEN_VAL_MO_x_6141,GEN_VAL_MO_x_7230,GEN_VAL_MO_x_7910,Agreements_1220,Agreements_2010,Agreements_3510,Agreements_5800,Agreements_6021,pre_post_tariff,PMI,STEEL_PRICE
2015-01,1396893716.0,589302181.0,4514399.0,1001961.0,626664.0,1820081.0,1063737.0,2673862.0,58065575.0,19843996.0,468744.0,258275.0,167764.0,7084111.0,495555851.0,220707.0,111447.0,70404239.0,9396496.0,5984928.0,8411667.0,176926726.0,1553616.0,58672477.0,21893042.0,4679940.0,116888444.0,335837869.0,70501104.0,29095355.0,2620759.0,1310274.0,12688804.0,237211.0,705286.0,384186.0,7826928.0,2249393.0,27393721.0,15776294.0,3730181.0,66542169.0,4967670.0,212993120.0,102725.0,7312233.0,39701.0,110292.0,30639193.0,32246804.0,472223.0,200533308.0,8018847.0,28925403.0,19723479.0,64022468.0,16861348.0,22793818.0,174730424.0,1662874.0,227207.0,63447505.0,34848988.0,754741.0,25418672.0,4557598.0,31691730.0,9902519.0,1352306410.0,819585873.0,4193931.0,385958436.0,40720374.0,11314465.0,1049132.0,138738337.0,0.0,0.0,0.0,0.0,0.0,0,53.9,927.09
2015-02,1274282614.0,580801118.0,3027905.0,437947.0,399353.0,2750144.0,1146674.0,3339817.0,37891459.0,23091833.0,694705.0,89348.0,35218.0,2195306.0,283113430.0,179567.0,860330.0,66930437.0,18170564.0,12873172.0,7290386.0,101782445.0,1152216.0,57347030.0,17751020.0,7934054.0,109847637.0,322818648.0,72416049.0,39168279.0,1744394.0,1849982.0,14219651.0,141177.0,292834.0,100730.0,4830037.0,6417094.0,67065117.0,1877928.0,38102.0,52854446.0,5374503.0,148168934.0,56685.0,2348466.0,40058.0,267821.0,4398948.0,23321138.0,175427.0,164007866.0,7368569.0,39215140.0,16674437.0,84041158.0,11037744.0,18133477.0,169738277.0,2554551.0,207051.0,38790494.0,31255255.0,318918.0,20199491.0,2370815.0,24800936.0,4861705.0,1237392012.0,455420479.0,3342582.0,308949650.0,31188867.0,8042903.0,787705.0,46661577.0,0.0,0.0,0.0,0.0,0.0,0,53.0,932.16
2015-03,1445344282.0,510580225.0,3282241.0,723888.0,435706.0,3469401.0,1365973.0,1909021.0,41870889.0,14618269.0,434303.0,151683.0,199122.0,3018838.0,273301435.0,296298.0,1506446.0,60469971.0,8335583.0,14811806.0,10033686.0,130305183.0,1178199.0,49019472.0,25327129.0,6123300.0,112283296.0,356731657.0,52770275.0,25678043.0,3571259.0,1824296.0,17696344.0,292349.0,336645.0,147540.0,9181364.0,1602500.0,22843914.0,1745066.0,111585.0,60417916.0,4177821.0,133661021.0,468122.0,11928067.0,50799.0,544608.0,25935283.0,19515063.0,508427.0,196854389.0,10120736.0,15072262.0,19969648.0,98971767.0,8578828.0,31663364.0,224679112.0,1746862.0,390218.0,67697225.0,34642862.0,494576.0,28459867.0,4768771.0,29548752.0,9454296.0,1538702075.0,568798109.0,6081893.0,370599192.0,25685902.0,9693521.0,539523.0,94478588.0,0.0,0.0,0.0,0.0,0.0,0,52.1,898.63
2015-04,1312691267.0,501710102.0,3458855.0,846159.0,322276.0,3065556.0,948217.0,3264778.0,34769049.0,20614631.0,542311.0,56341.0,130716.0,2423268.0,224985469.0,950084.0,2230451.0,57196887.0,16612152.0,6120164.0,8059600.0,120774474.0,1564705.0,45760822.0,26401679.0,13951600.0,102263059.0,323082708.0,59520311.0,19456157.0,2220771.0,1530505.0,17535536.0,264637.0,877002.0,257572.0,9375567.0,6840479.0,39547504.0,14387656.0,17023731.0,73383453.0,6447838.0,180942707.0,295793.0,8731898.0,54205.0,189992.0,15262209.0,17867372.0,488218.0,133790508.0,8061355.0,45215133.0,25185043.0,103239214.0,11826649.0,16299859.0,203612310.0,2903449.0,293300.0,91261181.0,45372436.0,664700.0,28464846.0,3972239.0,44074136.0,10639591.0,1370664083.0,487731624.0,6391463.0,398771155.0,36457498.0,4874872.0,306393.0,87160471.0,0.0,0.0,0.0,0.0,0.0,0,51.9,926.77
2015-05,1313705886.0,505723446.0,3056895.0,945472.0,362627.0,2815248.0,726576.0,3076931.0,30552387.0,10041255.0,531423.0,120137.0,275072.0,1642916.0,259322791.0,336725.0,2799436.0,58047012.0,17608265.0,8824323.0,8079632.0,101886602.0,1072699.0,74095856.0,24619940.0,19322086.0,108214839.0,341804927.0,70752841.0,27467952.0,3597220.0,1314280.0,17128787.0,172708.0,611650.0,278106.0,9014118.0,6512690.0,19241656.0,14697097.0,2722.0,58105511.0,7775282.0,192476507.0,373151.0,7499452.0,11015.0,465966.0,12148965.0,18416320.0,414983.0,125586648.0,6755764.0,35603509.0,18329377.0,74751252.0,7982916.0,36759452.0,162078807.0,3160124.0,284643.0,73677042.0,37990562.0,817662.0,22043780.0,4670970.0,27902175.0,9231194.0,1493012326.0,349764182.0,7645278.0,313876239.0,40456342.0,9965322.0,191007.0,93921269.0,0.0,0.0,0.0,0.0,0.0,0,52.9,965.385
2015-06,1403910384.0,555639862.0,1717927.0,674750.0,480196.0,3190084.0,516050.0,3853751.0,28469157.0,17614051.0,896073.0,240559.0,28771.0,2865208.0,194125911.0,26059.0,733367.0,58730531.0,15334730.0,7081610.0,9275484.0,95271101.0,1194513.0,56797962.0,24255153.0,15814659.0,95283570.0,334560013.0,51983732.0,26935861.0,2644320.0,1599125.0,16310809.0,467024.0,1164012.0,351284.0,8913850.0,6670543.0,10472051.0,168005.0,38102.0,74190791.0,4497653.0,142119435.0,312400.0,6752869.0,12682.0,558777.0,7808681.0,8940560.0,577378.0,91676394.0,8440664.0,9926302.0,16561340.0,55131767.0,6960177.0,23209772.0,150551969.0,2164759.0,250854.0,63136131.0,45267693.0,889178.0,20065203.0,5353069.0,35694828.0,10909434.0,1336463019.0,314781092.0,7288282.0,323709032.0,38604951.0,11345425.0,319951.0,50770208.0,0.0,0.0,0.0,0.0,0.0,0,52.5,892.11
2015-07,1264777051.0,615213775.0,2139009.0,474230.0,775019.0,2941229.0,527435.0,3228431.0,34072084.0,14247411.0,746802.0,93339.0,184499.0,1006203.0,245187975.0,130035.0,1252663.0,67416147.0,14528199.0,15308318.0,10768327.0,105401255.0,2220246.0,86513025.0,28787064.0,11859945.0,99187651.0,317154049.0,55746741.0,21904337.0,1990402.0,1555375.0,17820018.0,312362.0,448012.0,131498.0,8556736.0,5936996.0,4639962.0,14974867.0,21466940.0,57527787.0,4078056.0,139490485.0,417296.0,6885034.0,37606.0,435496.0,26124314.0,12403343.0,537868.0,128983803.0,9321836.0,7105703.0,17200954.0,99860407.0,7033714.0,21390538.0,136036519.0,1645581.0,234681.0,68074403.0,42396533.0,843837.0,21152012.0,4467005.0,48631106.0,3857442.0,1294086945.0,346564512.0,6069912.0,263107376.0,21432395.0,8934569.0,689311.0,49289008.0,0.0,0.0,0.0,0.0,0.0,0,52.0,772.365
2015-08,1235387395.0,564964854.0,2552188.0,568734.0,614907.0,3619751.0,441494.0,2658538.0,36151233.0,18666965.0,446705.0,3128778.0,52898.0,1555637.0,274479706.0,0.0,1784623.0,42697567.0,14167206.0,14020972.0,8521420.0,93689604.0,1129176.0,65658603.0,21325652.0,18401881.0,80107036.0,260723264.0,67621776.0,11252475.0,1671392.0,1502131.0,14115362.0,179457.0,571663.0,257761.0,7874041.0,701983.0,4311022.0,1512246.0,24494.0,43667952.0,4611072.0,145282274.0,251876.0,5507532.0,86917.0,378677.0,4856445.0,16323375.0,464697.0,115359801.0,7101769.0,8697701.0,17846571.0,52317749.0,7724408.0,28622441.0,132020688.0,1473547.0,263697.0,80910659.0,40035524.0,1119223.0,20323551.0,3797476.0,39493462.0,9920020.0,1230691655.0,268798978.0,5535547.0,293009894.0,29556947.0,8854514.0,347175.0,65040059.0,0.0,0.0,0.0,0.0,0.0,0,50.2,699.895
2015-09,1232498906.0,535936061.0,1488261.0,755627.0,295937.0,2981520.0,611995.0,3661807.0,26633171.0,14485102.0,752238.0,172532.0,25422.0,735826.0,229065053.0,154276.0,1030382.0,40063193.0,4390875.0,25711366.0,5887597.0,88953211.0,1686202.0,58289420.0,20337966.0,20210173.0,85685996.0,326838133.0,49968416.0,28569948.0,2347226.0,1409750.0,11894841.0,339171.0,667096.0,489148.0,7744166.0,465846.0,35186517.0,18870859.0,38102.0,35614079.0,3310814.0,105571107.0,14573.0,5872671.0,5554.0,189976.0,7785986.0,15411342.0,457225.0,76557074.0,7270088.0,6451397.0,14928728.0,48529565.0,5362634.0,24290098.0,159605000.0,865016.0,224994.0,54399956.0,34075583.0,1586644.0,21505211.0,6575005.0,31179518.0,4008464.0,1162999274.0,290078695.0,5673247.0,276526072.0,19214071.0,8603904.0,519255.0,52507743.0,0.0,0.0,0.0,0.0,0.0,0,50.1,640.81
2015-10,1256750229.0,546731961.0,3961946.0,718530.0,379062.0,3205849.0,537017.0,2924330.0,33309781.0,17109170.0,666027.0,178810.0,130574.0,1154216.0,312572772.0,75446.0,244169.0,70101548.0,13699576.0,17035007.0,7043623.0,93265280.0,1170733.0,73881206.0,20299564.0,19240704.0,79694938.0,280451707.0,57830789.0,30369787.0,1931605.0,1205692.0,14834849.0,345541.0,749515.0,396071.0,12397376.0,1241390.0,48380086.0,1344417.0,15826562.0,37500826.0,3954813.0,105621742.0,50680.0,5002996.0,281367.0,553843.0,6211508.0,14897673.0,401550.0,138882563.0,6342407.0,3508050.0,19729298.0,50319565.0,5713856.0,29239908.0,147203708.0,1260781.0,290404.0,73537267.0,41569740.0,1118356.0,21424966.0,4531691.0,33150490.0,5955356.0,1039865796.0,292930256.0,6199609.0,265471039.0,15494068.0,2910517.0,336708.0,46148726.0,0.0,0.0,0.0,0.0,0.0,0,49.1,652.065
